value,layer,raw_norm
kindness,28,2.438466
kindness,29,2.694961
kindness,30,3.111968
kindness,31,4.006333
loyalty,0,0.0414
loyalty,1,0.070382
loyalty,2,0.11107
loyalty,3,0.170549
loyalty,4,0.251518
loyalty,5,0.281416
loyalty,6,0.292613
loyalty,7,0.324156
loyalty,8,0.344825
loyalty,9,0.379912
loyalty,10,0.415111
loyalty,11,0.448708
loyalty,12,0.525842
loyalty,13,0.758467
loyalty,14,1.157594
loyalty,15,1.243708
loyalty,16,1.342575
loyalty,17,1.652466
loyalty,18,1.744742
loyalty,19,1.891142
loyalty,20,2.050005
loyalty,21,2.210375
loyalty,22,2.376785
loyalty,23,2.563895
loyalty,24,2.698824
loyalty,25,2.925705
loyalty,26,3.22962
loyalty,27,3.559516
loyalty,28,3.949912
loyalty,29,4.474249
loyalty,30,5.200226
loyalty,31,6.640367
mercy,0,0.044117
mercy,1,0.067821
mercy,2,0.10648
mercy,3,0.182793
mercy,4,0.242148
mercy,5,0.268788
mercy,6,0.288981
mercy,7,0.328171
mercy,8,0.333566
mercy,9,0.365752
mercy,10,0.388168
mercy,11,0.399511
mercy,12,0.436324
mercy,13,0.602325
mercy,14,1.08268
mercy,15,1.100725
mercy,16,1.164803
mercy,17,1.544853
mercy,18,1.670189
mercy,19,1.735533
mercy,20,1.785436
mercy,21,1.923334
mercy,22,2.096641
mercy,23,2.206237
mercy,24,2.391095
mercy,25,2.559139
mercy,26,2.884192
mercy,27,3.268343
mercy,28,3.760167
mercy,29,4.372673
mercy,30,4.848166
mercy,31,6.49572
privacy,0,0.035505
privacy,1,0.05805
privacy,2,0.09356
privacy,3,0.15756
privacy,4,0.238627
privacy,5,0.258271
privacy,6,0.280107
privacy,7,0.319198
privacy,8,0.338018
privacy,9,0.360347
privacy,10,0.38772
privacy,11,0.395309
privacy,12,0.502484
privacy,13,0.68953
privacy,14,1.097297
privacy,15,1.251882
privacy,16,1.361424
privacy,17,1.735861
privacy,18,1.893153
privacy,19,1.944141
privacy,20,2.026542
privacy,21,2.129144
privacy,22,2.244914
privacy,23,2.423071
privacy,24,2.679111
privacy,25,2.859732
privacy,26,3.16614
privacy,27,3.482688
privacy,28,3.981973
privacy,29,4.654711
privacy,30,5.083379
privacy,31,6.45943
sanctity,0,0.024964
sanctity,1,0.043465
sanctity,2,0.074857
sanctity,3,0.126067
sanctity,4,0.191549
sanctity,5,0.202517
sanctity,6,0.216044
sanctity,7,0.247746
sanctity,8,0.281396
sanctity,9,0.293745
sanctity,10,0.302556
sanctity,11,0.319684
sanctity,12,0.368139
sanctity,13,0.485269
sanctity,14,0.631359
sanctity,15,0.810516
sanctity,16,0.962897
sanctity,17,1.105669
sanctity,18,1.195423
sanctity,19,1.27265
sanctity,20,1.345419
sanctity,21,1.422864
